Maquina,timestamp,aceleracion_chum_la_h,velocidad_chum_la_h,envolvente_chum_la_h,aceleracion_chum_la_a,velocidad_chum_la_a,envolvente_chum_la_a,aceleracion_chum_lb_h,velocidad_chum_lb_h,envolvente_chum_lb_h,desbalance_lado_a,desalineacion_rad_lado_a,soltura_lado_a,rodamiento_chum_lado_a,desalineacion_ang_lado_a,desbalance_lado_b,desalineacion_lado_b,soltura_lado_b,rodamiento_chum_lado_b,corriente_motor_a,corriente_motor_b,temp_chum_lado_a,temp_chum_lado_b
DESFIBRADORA,2025-07-07 23:24:43-05:00,0.354205,2.434,0.903894,0.23874,2.63687,0.556694,0.153346,2.17267,0.114714,1.2580818,1.1867436,0.76413727,0.07042046,0.6797539,0.7623312,0.096122906,1.7133837,0.4938928,128.0,123.0,51.0,49.0
DESFIBRADORA,2025-07-07 23:24:53-05:00,0.366513,2.60961,1.1644,0.265011,2.93328,0.523581,0.162775,2.21958,0.126427,1.2610936,1.2164773,0.6877236,0.06337841,0.69324285,0.75790936,0.09927372,1.6600473,0.48008463,135.0,134.0,51.0,50.0
DESFIBRADORA,2025-07-07 23:25:03-05:00,0.332639,2.63113,0.737735,0.211531,2.73559,0.398965,0.129436,1.80503,0.129704,1.2641054,1.2462108,0.6113098,0.056336366,0.70673174,0.7534876,0.102424525,1.6067109,0.46627644,133.0,132.0,51.0,49.0
DESFIBRADORA,2025-07-07 23:25:13-05:00,0.339622,2.3571,0.730725,0.238204,2.84509,0.433795,0.170405,2.35795,0.12589,1.2671173,1.2759445,0.5348961,0.04929432,0.7202206,0.74906576,0.10557533,1.5533745,0.45246825,129.0,128.0,52.0,50.0
DESFIBRADORA,2025-07-07 23:25:23-05:00,0.369242,2.43794,0.942263,0.238499,2.39838,0.501202,0.16119,2.13367,0.103162,1.2701291,1.3056781,0.45848238,0.042252272,0.7337096,0.7446439,0.108726144,1.5000381,0.4386601,143.0,142.0,52.0,49.0
DESFIBRADORA,2025-07-07 23:25:33-05:00,0.369082,2.53401,1.74962,0.235708,2.76086,0.482042,0.15434,2.13261,0.152271,1.2731409,1.3354118,0.38206863,0.03521023,0.74719846,0.7402221,0.11187695,1.4467019,0.4248519,130.0,126.0,51.5,49.5
DESFIBRADORA,2025-07-07 23:25:43-05:00,0.375423,2.74111,0.794513,0.287041,3.14413,0.605585,0.178303,2.43042,0.145394,1.2761527,1.3651454,0.3056549,0.028168183,0.7606874,0.73580027,0.11502776,1.3933655,0.41104373,174.0,171.0,51.0,50.0
DESFIBRADORA,2025-07-07 23:25:53-05:00,0.359476,2.13871,0.953929,0.247247,2.77165,0.476139,0.151331,2.10679,0.124707,1.2791646,1.3948791,0.22924119,0.021126136,0.7741763,0.73137844,0.11817857,1.3400291,0.39723554,158.0,155.0,51.0,49.0
DESFIBRADORA,2025-07-07 23:26:03-05:00,0.37644,2.28728,1.26907,0.278213,2.6245,0.514619,0.155978,2.05513,0.174623,1.2821764,1.4246126,0.15282746,0.014084091,0.7876652,0.72695667,0.121329375,1.2866927,0.38342735,185.0,181.0,51.0,50.0
DESFIBRADORA,2025-07-07 23:26:43-05:00,0.365148,2.76106,0.781884,0.247327,2.83377,0.558036,0.194342,2.61991,0.11337,1.2860682,1.4529809,0.18073273,0.065383,0.7903671,0.7162924,0.12930472,1.1823436,0.3623247,150.0,148.0,51.0,50.0
