Maquina,timestamp_grid,aceleracion_chum_la_h,velocidad_chum_la_h,envolvente_chum_la_h,aceleracion_chum_la_a,velocidad_chum_la_a,envolvente_chum_la_a,aceleracion_chum_ll_h,velocidad_chum_ll_h,envolvente_chum_ll_h,desbalance_la,desalineacion_rad_la,soltura_chum_la,rodamiento_chum_la,desalineacion_ang_la,desbalance_ll,soltura_chum_ll,rodamiento_chum_ll,corriente_picadora,temperatura_lado_der,temperatura_lado_izq
PICADORA,2025-07-14 10:44:21-05:00,0.447429,2.51631,1.80484,0.346677,1.82733,1.16765,0.46754,3.10246,1.02773,0.76813525,0.46539724,1.48893,0.7362135,0.026283074,0.7487506,1.9901134,1.3395066,191.0,50.0,52.0
PICADORA,2025-07-14 10:44:31-05:00,0.478167,2.97206,1.66971,0.356229,2.05449,1.09064,0.587369,4.68943,1.38471,0.7790292,0.45478618,1.4120634,0.63035166,0.025831383,0.74472547,1.99048,1.3093425,193.0,50.0,52.0
PICADORA,2025-07-14 10:44:41-05:00,0.402393,2.10215,1.78768,0.257942,1.38721,1.36084,0.337925,2.32361,0.749731,0.7899231,0.4441751,1.3351966,0.5244898,0.025379691,0.7407003,1.9908466,1.2791784,84.0,50.0,52.0
PICADORA,2025-07-14 10:44:51-05:00,0.443057,2.67077,1.88215,0.345308,1.84417,1.52334,0.391991,3.38256,1.1379,0.800817,0.433564,1.25833,0.418628,0.024928,0.73667514,1.9912133,1.2490141,111.0,50.0,52.0
PICADORA,2025-07-14 10:45:01-05:00,0.479401,2.45764,2.0169,0.383008,1.71651,1.31582,0.452269,2.96241,0.973526,0.80103636,0.43518725,1.275475,0.41729918,0.0260095,0.73265,1.99158,1.21885,170.0,50.0,52.0
PICADORA,2025-07-14 10:45:11-05:00,0.547048,5.2926,1.56462,0.42484,2.61727,1.25845,0.749677,8.33969,2.46524,0.8012557,0.4368105,1.29262,0.41597033,0.027091,0.7348134,1.9889941,1.2251692,153.0,50.0,52.0
PICADORA,2025-07-14 10:45:21-05:00,0.63162,6.50642,1.59874,0.476439,3.0179,1.17763,1.47147,11.9443,19.0988,0.801475,0.43843377,1.309765,0.4146415,0.0281725,0.7369768,1.9864084,1.2314883,206.0,50.0,52.0
PICADORA,2025-07-14 10:45:31-05:00,0.637789,6.46958,2.17854,0.488353,2.97105,1.54454,1.25631,11.349,6.94857,0.80169433,0.440057,1.32691,0.41331267,0.029253999,0.7391403,1.9838225,1.2378075,184.0,50.0,52.0
PICADORA,2025-07-14 10:45:41-05:00,0.402769,1.67193,1.71606,0.261108,1.51619,1.13636,0.294235,1.87814,0.587664,0.8019137,0.44168025,1.3440549,0.41198385,0.030335499,0.7413037,1.9812367,1.2441267,85.0,50.0,52.0
PICADORA,2025-07-14 10:45:51-05:00,0.400811,2.00242,1.81992,0.241627,1.45512,0.999352,0.322492,2.23948,0.751505,0.80213296,0.44330353,1.3612,0.41065502,0.031416997,0.7434671,1.9786508,1.2504458,105.0,50.0,52.0
PICADORA,2025-07-14 10:46:01-05:00,0.397351,1.64614,1.86316,0.247799,1.49197,0.967797,0.295445,1.78214,0.598257,0.8023523,0.44492677,1.378345,0.40932617,0.032498498,0.7456305,1.9760649,1.256765,88.0,50.0,52.0
PICADORA,2025-07-14 10:46:11-05:00,0.492652,3.25071,1.72754,0.38706,2.14478,1.1187,0.491764,4.75405,1.15812,0.80257165,0.44655,1.3954899,0.40799734,0.033579998,0.7477939,1.9734792,1.2630842,148.0,50.0,52.0
PICADORA,2025-07-14 10:46:21-05:00,0.467573,2.87338,1.58044,0.321266,2.06818,1.04406,0.502652,3.52314,0.876523,0.802791,0.44817325,1.412635,0.4066685,0.034661498,0.7499573,1.9708933,1.2694033,157.0,50.0,52.0
PICADORA,2025-07-14 10:46:31-05:00,0.44185,2.47606,1.72829,0.327089,1.50329,1.62777,0.372714,3.52604,1.02622,0.80301034,0.4497965,1.42978,0.40533966,0.035742998,0.75212073,1.9683075,1.2757225,105.0,50.0,52.0
PICADORA,2025-07-14 10:46:41-05:00,0.448931,2.18188,1.95146,0.332187,1.58647,1.22764,0.357605,2.6438,0.68784,0.80322963,0.45141977,1.4469249,0.40401083,0.0368245,0.7542842,1.9657216,1.2820417,119.0,50.0,52.0
PICADORA,2025-07-14 10:46:51-05:00,0.45848,2.52131,1.70447,0.305462,1.56226,1.26253,0.387878,2.98456,1.60437,0.803449,0.453043,1.46407,0.402682,0.037906,0.7564476,1.9631358,1.2883608,151.0,50.0,52.0
PICADORA,2025-07-14 10:47:01-05:00,0.442976,2.50711,1.7468,0.323708,1.62754,1.37549,0.412236,3.09402,0.861306,0.79604614,0.46279052,1.4924958,0.46560434,0.039305806,0.758611,1.96055,1.29468,110.0,50.0,52.0
