Fecha,RPM_BPC-501\RPM [RPM],Motor LL_501\MLL - X\Velocidad Rms [mm/s],Motor LL_501\MLL - X\Aceleración Rms [g],Motor LA_501\MLA - X\Velocidad Rms [mm/s],Motor LA_501\MLA - X\Aceleración Rms [g],Motor LA_501\MLA - Y\Velocidad Rms [mm/s],Motor LA_501\MLA - Y\Aceleración Rms [g],Motor LA_501\MLA - Z\Velocidad Rms [mm/s],Motor LA_501\MLA - Z\Aceleración Rms [g],Motor LL_502\MLL _X\Velocidad Rms [mm/s],Motor LL_502\MLL _X\Aceleración Rms [g],Motor LA_502\MLA_X\Velocidad Rms [mm/s],Motor LA_502\MLA_X\Aceleración Rms [g],Motor LA_502\MLA_Y\Velocidad Rms [mm/s],Motor LA_502\MLA_Y\Aceleración Rms [g],Motor LA_502\MLA_Z\Velocidad Rms [mm/s],Motor LA_502\MLA_Z\Aceleración Rms [g],Motor LL_502\MLL_Y\Velocidad Rms [mm/s],Motor LL_502\MLL_Y\Aceleración Rms [g],Motor LL_501\MLL - Y\Velocidad Rms [mm/s],Motor LL_501\MLL - Y\Aceleración Rms [g]
2026-01-30 05:27:19,1194.82239,1.23492956,1.03295672,0.934194863,2.076543,0.915661931,2.59995,0.550873637,1.751439,0.8443586,0.467000872,0.893622935,1.74285173,0.6813433,1.632618,1.15921819,0.5759182,0.6919989,0.5338485,2.225301,0.88084656
2026-01-30 05:27:20,1195.02075,1.30632448,1.03068233,0.9422549,2.07977629,0.8843229,2.4616375,0.573718548,1.79331362,0.7996317,0.4627774,0.9024789,1.747194,0.6887012,1.62494063,1.90950418,0.5466468,0.640712738,0.5331972,2.250097,0.8950922
2026-01-30 05:27:21,1194.82239,1.29027832,1.04393864,0.9997402,2.093284,0.9476685,2.664598,0.7971021,1.73987007,0.815578759,0.4629121,0.8882662,1.70899057,0.694758534,1.61382151,13.5861607,0.557966,0.6263195,0.5389506,2.228989,0.8918991
2026-01-30 05:27:22,1195.11987,1.31252325,1.02372372,0.955697358,2.01756334,0.8899835,2.5869627,0.6186622,1.71011627,0.807959855,0.466541082,0.8946112,1.71503425,0.6927266,1.60197949,0.7164688,0.5174349,0.6562095,0.5359262,2.15395761,0.8860141
2026-01-30 05:27:23,1195.11987,1.28351724,1.0150708,0.9693778,1.996792,0.89993155,2.58279419,0.569685161,1.75836658,0.836333752,0.456450731,0.891538262,1.65990138,0.6954872,1.65588343,0.7837649,0.581887364,0.6535905,0.533033431,2.18084431,0.894400358
2026-01-30 05:27:24,1195.51685,1.30439925,1.022663,0.949197769,2.043284,0.874075,2.51675415,0.5874166,1.74327648,0.807121158,0.4594667,0.886505,1.655782,0.6976779,1.60835826,0.372545242,0.548011541,0.642908633,0.5234098,2.15674138,0.8944669
2026-01-30 05:27:25,1195.71533,1.31093872,1.02665591,0.9619268,2.06253362,0.8916674,2.64287519,0.58266294,1.72799194,0.790231,0.457366735,0.899125934,1.68703079,0.6931025,1.67993009,0.39956668,0.557087064,0.6698709,0.5303901,2.189512,0.882761359
2026-01-30 05:27:26,1195.914,1.26815462,1.00526011,0.944699645,2.13370252,0.885349,2.64784884,0.61487937,1.7357173,0.8505766,0.4624194,0.8837377,1.74900782,0.7037537,1.61060131,0.523351133,0.5934439,0.641912758,0.5261303,2.16613364,0.89622
2026-01-30 05:27:27,1195.8147,1.3004564,1.03372824,0.9535218,1.97438073,0.865252554,2.54213023,0.523608863,1.75289118,0.832921,0.454396665,0.908789456,1.8017869,0.7071696,1.620073,0.400594324,0.5432781,0.670796156,0.528204262,2.163767,0.8977548
2026-01-30 05:27:28,1195.914,1.27431583,1.00049555,0.9326924,2.06853485,0.901131,2.55018282,0.5162926,1.726713,0.857162237,0.452032119,0.8872205,1.721397,0.6996589,1.65294337,0.359636337,0.559259057,0.681378543,0.5264529,2.18963051,0.893620133
